name,other_names,official_no,type_at_loss,build_info,specs,date_of_loss,place_of_loss,lake,type_of_loss,loss_of_life_original,loss_of_life,carrying,detail,sources,media_notes,source_page,latitude,longitude,coord_confidence
MYRTLE,none,16415,"schooner, wood, 2-mast*","1857, Merry & Gay, Milan, OH**","118x24x10, 207g 197n","1894, May 18","Chicago, at the base of 34th st.",Michigan,storm,6 [all],6,lumber,"Struggled into Chicago but went out of control and collided with the schooners EVENING STAR(qv) & CLIFFORD, then drifted down the beach and sank within sight of thousands of helpless bystanders on shore. All hands were lost. Master: Capt. Jerome Wilson(d); vessel out of Chicago. Rebuilt in 1871. *Also reported as a sharp-bowed scow **builder also given as Kelley","nsp,is,sol,h,lmdc,mv,hgl,rsl,wl,ec",Image from GLMD,m,43.41853,-87.071173,estimated_from_place_text_lake_corrected
MYSTERY,none,C116849,"propeller steam tug, wood","1906, Lion’s Head, Ont","55x14x6, 53 t.","1927, Oct 11","E side of Sawyer Bay, near Sibley Peninsula*",Superior,fire,none,none,(none),"Destroyed by fire. Her remains are still visible at the site. Owned by Mills & Barnes, Port Arthur, Ont. Out of Owen Sound [also given as Thunder Bay, Ont.] *location also given as Saugeen, Ont, L. Huron Burned at White Cloud Isl, Geo. Bay, Aug 31, 1911. Rebuilt, 1916 and shortened 5 feet.","mmgl,h,win,rf",,m,46.663367,-86.967004,estimated_from_place_text_lake_corrected
MYSTIC,"built as U.S. tug H.P. CLINTON, renamed, 1876",C71260,"propeller steam tug, wood","1857, D. O’Conner, Buffalo, NY [US#11969]","67x16x8, 60gc 35nc",1881,unreported,unreported,“lost”,?,none,?,"No detail. Final document surrendered Nov 24, 1890, annotated “lost” in 1881. Rebuilt in Canada in 1865, again at Detroit the following year. Burned on the Saginaw River in June, 1868. Wrecked in the North Channel near Cockburn Isl. in early Sep, 1878. Recovered in May of the following year, and rebuilt..Sold Canadian in 1879 to L. P. Trempe, Soo, Ont.. One source says owned in Windsor, Ont. In 1884, but maybe as salvageable wreck.","mmgl,slh,csv,lhl,nsp,nac",,m,46.065799,-89.319028,estimated_from_place_text
MYSTIC,none,90199,"propeller steam tug, wood","1870, J. M. Jones, Detroit","81x18x6, 68g 34n","1893, Sep 27",Tahquamenon Bay of Whitefish Bay,Superior,fire,none,none,none,Carrying a party of surveyors when she caught fire offshore and was run to shore at Ransom’s Landing to save her people. There she burned to the waterline. Owned out of Port Huron by D. N. Runnels. Major repairs in 1877.,"phr,gwgl,lss,lssc,is,mv,hgl",,m,46.65,-84.83,geocoded_direct
MYSTIC,none,17210,"schooner, wood, 2-mast, “cat-rigged”","1866, Wm. Raynor, Milan, OH","113x25x8, 161g 153n","1895, Oct 17 or 18","Pilot Island, Death’s Door",Michigan,storm,none,none,light,"A gale blew her very high on the rocks on the east side of the island. Her crew came ashore hand-over-hand on a line, while the schooner broke up. Her outfit was saved by local lightkeepers. She had been bound for Little Bay de Noc for a load of Christmas trees. Owned by Samuel Swinson of Chicago and chartered to Henry Schuenemann","nsp,hgl,polk,wl,ec,wgts Share this: Share on X (Opens in new window) Share on Facebook (Opens in new window) Facebook Like Loading...",,m,43.275766,-86.392943,estimated_from_place_text_lake_corrected
N. ELLEN M.,"built as MOLLY S., renamed 1935",C111851,"propeller steam tug, wood","1901, Simms, Manitouwaning, Ont.","68x12x5, 25g 15n","1949, Aug 6","5 mi E of Cabot Head, Georgian Bay",Huron,fire,?,none,?,"Burned to a total loss. Rebuilt at Wiarton, Ont in 1936 Originally named after the builder’s daughter, Molly.",": h,win,mmgl",Image from Bruce County Museum,n,43.848895,-81.738746,estimated_from_place_text_lake_corrected
N. 1,Northern Dock & Dredge Scow N. 1,163492,wooden work scow,"1884, Racine, Wis",90g 90n,"1918, Oct 12","Duluth, Minn",Superior,fire,none,none,none,"Lying at her anchorage on Grassy Point when the area was swept by the tremendous Cloquet Forest Fire. Northern Dock & Dredge’s facilities were destroyed along with nine vessels. See dredge DULUTH, tugs ELLA G. STONE, MENTOR and JOHN H JEFFREY, JR, scows N. 2 thru N.4 and scows No.1 and No. 40.","mv,mjd,hr",,n,46.788094,-86.980234,estimated_from_place_text_lake_corrected
N. 2,Northern Dock & Dredge Scow N. 2,16489,wooden work scow,"1883, Racine, Wis",84g 84n,"1918, Oct 12","Duluth, Minn",Superior,fire,none,none,none,"Lying at her anchorage on Grassy Point when the area was swept by the tremendous Cloquet Forest Fire. Northern Dock & Dredge’s facilities were destroyed along with nine vessels. See dredge DULUTH, tugs ELLA G. STONE, MENTOR and JOHN H JEFFREY, JR, scows N. 1 thru N.4 and scows No.1 and No. 40.","mv,mjd,hr",,n,46.680498,-86.803206,estimated_from_place_text_lake_corrected
N. 3,Northern Dock & Dredge Scow N. 3,163490,wooden work scow,"1892, Milwaukee",175g 175n,"1918, Oct 12","Duluth, Minn",Superior,fire,none,none,none,"Lying at her anchorage on Grassy Point when the area was swept by the tremendous Cloquet Forest Fire. Northern Dock & Dredge’s facilities were destroyed along with nine vessels. See dredge DULUTH, tugs ELLA G. STONE, MENTOR and JOHN H JEFFREY, JR, scows N. 1 thru N.4 and scows No.1 and No. 40.","mv,mjd,hr",,n,46.66519,-86.996488,estimated_from_place_text_lake_corrected
N. 4,Northern Dock & Dredge Scow N. 4,163491,wooden work scow,"1894, Milwaukee",192g 192n,"1918, Oct 12","Duluth, Minn",Superior,fire,none,none,none,"Lying at her anchorage on Grassy Point when the area was swept by the tremendous Cloquet Forest Fire. Northern Dock & Dredge’s facilities were destroyed along with eight or nine vessels. See dredge DULUTH, tugs ELLA G. STONE, MENTOR and JOHN H JEFFREY, JR, scows N. 1 thru N. 3 and scows No.1 and No.40.","mv,mjd,hr",,n,46.782682,-86.839498,estimated_from_place_text_lake_corrected
N. G.,none,C none,"scow-schooner, wood, 2-mast","1847, Port Dover, Ont","92x17x7, 110 t.","1866, Nov 17",at Pigeon Bay,Erie,storm,1,1,light,"She had just been purchased for $800 and was enroute from Cleveland to her new homeport when she was driven ashore by a storm and wrecked. Out of Port Dover, owned by John Jennings, sailmaker. Rebuilt and enlarged at Port Burwell in 1852, originally 84x17x7, 97 t. Heavily damaged in a wreck near Avon Point in 1855.","mmgl,hgl,nsp,wmn",,n,42.210061,-81.170835,geocoded_direct_lake_corrected
NAGAHO,"built as schooner-barge F.R. BUELL*, renamed in 1920",120720,"propeller, wood, bulk freight","1888, Dulac, Mt. Clemens, MI as a schooner-barge","194x36x14, 1438g 1199n","1922, Oct 27","near Port Collins, Ont.",Ontario,storm,none,none,?,"Bound Buffalo for Montreal, she was damaged by a westerly gale, limped in and sank near shore. In November she was declared a constructive total loss and was abandoned. *engine installed 1889 & became package freighter. Rebuilt to a bulker in 1904.","ns3,mv,mpl,eas",Image as prop F. R. BUELL from GLMD,n,43.723315,-76.939514,estimated_from_place_text_lake_corrected
NAHANT,none,18766,"propeller, wood, package and bulk freight","1873, F. Jones, Detroit","213x35x16, 1204g 1038n","1897, Nov 29","Escanaba, MI, Little Bay de Noc",Michigan,fire,2 or 3,3,iron ore,"She caught fire while loading at ore dock No. 4 and both dock and boat were destroyed. Firefighters were hampered by sub-zero temperatures and she burned to a total loss. Owned by C. E. Benham, Cleveland. Wreckage is reportedly still visible from the Escanaba lighthouse. Major repairs, 1880","is,ns3,lmdc,mv,polk,hgl,mpl,wgts,nsp",Image from GLMD,n,44.986374,-86.925975,geocoded_direct_lake_corrected
NAIAD,none,C116392,"schooner, wood, 3-mast","1863, M. Squires, Huron, OH as a bark [US#18100]","141x29x11, 312g 296n","1911, Oct 22","off Au Sable Point, near Oscoda, MI",Huron,storm,none,none,?,"She was waterlogged and heavily damaged in a storm. Later she was towed in to Harbor Beach, MI, by the steamer ISAAC L. ELLWOOD and abandoned there. Also heavily damaged and lost her rigging in a storm in July of 1895. Two men went over the side and were lost with the rigging. Rebuilt, 1876. major repairs in 1882 Sold Canadian in 1902","sagl,ns2,polk,mv,mpl,rsl",Image from GLMD,n,44.277447,-82.460374,estimated_from_place_text_lake_corrected
H.M.S.,none,none,"schooner, wood, built as a commercial fur-trading vessel, later a naval support vessel and gunboat","1789, Detroit",94 t.,"1814, Aug 14","site of Nancy Island, Georgian Bay",Huron,fire,?,none,?,"She was burned and sunk by U.S. warships TIGRESS, NIAGARA and SCORPION after being bottled up in Nottawasaga Bay. Nancy Island eventually built up around her remains. Parts of the vessel, raised by the Canadian government in 1927, reside in a museum at Collingwood, Ont. Some sources say she was a commercial vessel at the time of her loss.","slh,is,h,mpl",Image of sail plan from GLMD,n,43.802652,-82.014775,estimated_from_place_text_lake_corrected
NAOMI,none,18108,"bark, wood, 2-mast*","1858, Peck & Masters, Cleveland","139x30x11, 320n 435 t. [om]","1869, Nov 8","Near Manistee, MI on Big Sable Point",Michigan,storm,2 to 5,5,hard coal,"Bound Erie, PA for Milwaukee, she was caught in a storm, drove ashore and was wrecked. Her skipper, his wife and at least one crewman drowned. Out of Ashtabula, owned by Willard and Capt. Carpenter. Master: Capt. J. M. Carpenter(d). Rebuilt in 1865. One report says she was lost on Lake Ontario. *Shows on her initial enrollment documents as a “2-mast barque!”","lmdc,nsp,hgl,wl,rsl,mdwl,",,n,43.314297,-86.743081,estimated_from_place_text_lake_corrected
NAOMI,"built as steamer WISCONSIN; renamed NAOMI,1899; renamed E.G. CROSBY(1909), GEN. ROBERT M. O’REILLY(1918), PILGRIM(1920), WISCONSIN(qv) again in 1924.",80861,"propeller, iron, passenger/package freighter","1881,Detroit Dry Dock, Wyandotte hull# 49","204x35x12, 1182g 1020n","1907, May 21","off Grand Haven, MI",Michigan,fire,7 of 91,7,gen freight,"She caught fire offshore and produced a very dramatic conflagration in the night. A number of vessels stood by to help, but she still burned to a shell with loss of life. Owner: Crosby Transportation Co. Master: Capt. Thos. Triall. She was rebuilt the next year and operated until 1929.","atl,nsp,sol,rsh, mv ,was","Image from GLMD Image as wreck, same source",n,44.483062,-87.157826,estimated_from_place_text_lake_corrected
NAPANEE,built as steamer WOLFE,C none,"sidewheel steamer, wood","1835, Kingston, ONt","80×13 ft.,","1840, Jun","at Kingston, Ont.",Ontario,fire,?,none,?,Destroyed by fire. Maybe same vessel as BYTOWN (qv),"csv,",,n,43.438738,-77.193481,estimated_from_place_text_lake_corrected
NAPOLEAN,none,C ?,"sidewheel steamer, wood","1853, Hamilton, Ont.",110 ft.,"1856, Dec 2","Western edge of Burlington Bay, near Hamilton, Ont.",Ontario,storm/(fire),(none),none,?,"She was driven ashore by a gale, perhaps later burned to total loss. Out of Dundas, Ont.","csv,nsp",,n,43.574477,-76.966685,geocoded_direct_lake_corrected
NAPOLEON,also seen as NAPOLEAN,none,"propeller, wood, built as a schooner [also shown as a sidewheeler]","1845, Sault Ste Marie, MI","92x25x9, 181 t. om","1857, Dec 2","off Saugeen, Ont., Bruce Peninsula",Huron,storm,?,none,?,"She had gone to the assistance of the schooner DREADNAUGHT, but went ashore and bent her rudder shoe, disabling her engine. Helpless, she went on a reef and pounded to pieces. Her engine, boilers and gear were salvaged in the fall of 1858 and sold at Detroit. Also reported as lost on Lake Erie in 1855. Converted to a passenger steamer about 1850.","csv(s2),slh,hgl,nsp,wl,blu[57]",,n,44.498852,-82.567741,geocoded_lake_centroid
NAPOLEON,none,18174,"schooner, wood","1854, Barber, Milwaukee, Wis.","88x22x8, 108 t. [148 t. om]","1887, Oct 30","at Pierport, 15 mi S of Frankfort, Mich.",Michigan,storm,none,none,lumber slabs,"Caught in a storm off Pierport, she was leaking heavily, out of control and in danger of foundering when the lifesaving service crew in Frankfort was called. By the time the crew had towed their boat through the storm the fifteen miles behind the tug HALL, NAPOLEON had gone ashore and her crew was safe. She was thought to be lost in another storm earlier in the same month and at that time was said to be “crumbling to pieces with rot, she would be fortunate if she had safely made the trip in fair weather.” On the return trip, the lifesaving crew lost their lifeboat when the bow was jerked out of it, and the tug was almost wrecked as well. Master: Capt. Knudson. NAPOLEON was out of Milwaukee and owned by Hanson. She had changed hands at least 20 times in her career. Rebuilt in 1869","nsp,wmhs,polk,wmn,hgl,hr",Image from GLMD,n,44.230087,-86.392,geocoded_dist_offset_lake_corrected
NARRAGANSETT,none,18110,"schooner, wood, 3-mast","1861, Quayle & Martin, Cleveland","140x26x12, 317g 301n","1901, May 13","off Port Sanilac, MI",Huron,storm,none,none,none,"Her old hull sprang a leak and the vessel waterlogged. She was abandoned by her crew, but the steamer ADVANCE later picked her up and towed her for 3 hours before she sank 11 mi off Goderich, Ont. She had been bound Detour for Port Huron for repairs. Crew landed at Harbor Beach the 14th. Owner: John Leisch, Milwaukee. Also reported wrecked near Hammond Bay, L. Huron, in the great gale of 1872. She was on her first lakes trip after a five-year venture on the Atlantic seacoast. major repair in 1880","nsp,ns1,mv,slh,rsl",Image from GLMD,n,44.000353,-81.872424,estimated_from_place_text_lake_corrected
NASHUA,none,18537,"propeller, wood, bulk freight “lumber hooker”","1868, Lafrinier, Cleveland, as a passenger/package freighter","134x26x12, 298g 246n","1892, Oct 4","near Bayfield, Ont., S end of the lake",Huron,storm,14 or 15[all],15,lumber,"Bound Byng Inlet for Toledo with barge C.C. RYAN in tow, she capsized in a huge gale after her engine failed. The RYAN stood by, but was helpless to assist. Soon after, the steam barge WM. H. GRATWICK arrived on the scene, but found no trace of the vessel. NASHUA drifted ashore near Bayfield 4 days later, upside-down with her stern and machinery gone. Speculation at the time was that her boiler came loose in heavy seas and tore the rear of her hull off. Owned by Sturdevant Lumber Co. Cleveland. Master: Capt. Richard Millen(d).","slh,is,sol,gs,h,mv,lhdc,wb,hgl,mpl,nsp",Image from GLMD,n,43.564169,-81.723868,geocoded_near_at
NASSAU,none,18734,"schooner, wood, bulk freight","1872, G. Goble, Oswego, NY","137x25x11, 303g 288n","1898, Oct 14",near Bar Point,Erie,collision,1,1,"22,000 bu. wheat","She collided in a storm with the whaleback steamer JOSEPH L. COLBY and began to sink. The COLBY took most of her crew of and towed her into shallower water, where she sank. She had been bound Detroit for Buffalo and was coming to anchor against the gale when she was run down by the steamer. Owned and sailed by Capt. John Dorrington, Trenton, Mich.","osdo,h,mv,nsp,tel,nsp",,n,41.786167,-81.836581,estimated_from_place_text
MARY NAU,none often seen as MARY NAN,16647,"schooner, wood","1864, E. Sorenson, Green Bay",136gt 129nt,"1883, Oct 30","S of Harbor entrance at Grand Haven, MI",Michigan,storm,none of 6,none,lumber,"Bound Whitehall, MI, for Chicago, she drove ashore in a gale. Grand Haven Lifesaving Service rescued her crew, but she broke up the next day. Out of Chicago; Harmon Oleson, Owner","mv,h,polk,nsp,hgl,usls",Image from GLMD,n,43.614906,-87.128197,estimated_from_place_text_lake_corrected
NAUTILUS,none also seen as NAUTILLUS,none,"schooner, wood (sloop, wood, 1-mast)","(1816, Sandusky, OH)","42x13x5, 24 t.","1854, Oct 4","Chicago Harbor, off the foot of Lake St.",Michigan,storm,none,none,salt,"She touched a bar and was holed while trying to avoid 3 anchored schooners that were partially blocking the harbor entrance. She sank just off the harbor and was not much damaged, but tugs were unable to release her. A storm about ten days later tore her to pieces. Master: Capt. Hackett. Owned by Rounds, Hudson & Ranney, Chicago. One reliable source states that she was the old sloop shown in parentheses, but newspaper clippings of 1854 call her a schooner. One sailor died when she capsized in a storm 50 mi above Erie, PA, Sep 18, 1817.","is,www,hgl,nsp",,n,43.448708,-86.435875,estimated_from_place_text_lake_corrected
NAUTILUS,none,130487,"propeller steam tug, wood","1886, Poughkeepsie, NY","88x14x4, 39g 20n","1892, Aug 14",Bark Bay,Superior,fire,none,none,none,"Heavily damaged by fire and abandoned, she was later recovered, back in service the next year. Listed in 1892 mv, hgl as a yacht. Abandoned in 1933.","gwgl,mv,lss,glmd",Image from GLMD,n,47.167947,-87.525403,geocoded_lake_centroid
